Year,Code,Area,"SIC07: 01-03 : Agriculture, forestry & fishing",SIC07: 05-39 : Production,SIC07: 41-43 : Construction,SIC07: 45 : Motor trades,SIC07: 46 : Wholesale,SIC07: 47 : Retail,SIC07: 49-53 : Transport & Storage (inc. postal),SIC07: 55-56 : Accommodation & food services,SIC07: 58-63 : Information & communication,SIC07: 64-66 : Finance & insurance,SIC07: 68 : Property,"SIC07: 69-75 : Professional, scientific & technical",SIC07: 77-82 : Business administration & support services,SIC07: 84 : Public administration & defence,SIC07: 85 : Education,SIC07: 86-88 : Health,"SIC07: 90-99 : Arts, entertainment, recreation & other services",SIC07: Total
2017,Total,Total,659770.0,813895.0,1667435.0,417375.0,629485.0,1478515.0,634065.0,965830.0,1233915.0,385780.0,563240.0,2638050.0,1415720.0,115080.0,395525.0,912930.0,1027720.0,15954330.0
2018,Total,Total,664045.0,821915.0,1729815.0,421920.0,624595.0,1506120.0,633255.0,999040.0,1248075.0,397650.0,577590.0,2588595.0,1385330.0,114490.0,371855.0,846830.0,1037710.0,15968830.0
2019,Total,Total,664820.0,830375.0,1793120.0,430710.0,628610.0,1549135.0,643160.0,1027005.0,1287890.0,404580.0,600945.0,2612940.0,1407605.0,114635.0,372575.0,806225.0,1051500.0,16225830.0
2020,Total,Total,642390.0,752970.0,1784120.0,377110.0,522475.0,1071940.0,621570.0,806775.0,1241955.0,330020.0,540770.0,2486965.0,1239470.0,37760.0,235325.0,527670.0,905030.0,14124315.0
2021,Total,Total,622975.0,847520.0,1880430.0,439565.0,646545.0,1609795.0,780825.0,1085065.0,1213630.0,396035.0,625655.0,2514675.0,1423055.0,115930.0,380460.0,816635.0,1054740.0,16453535.0
2022,Total,Total,629665.0,842895.0,1960325.0,450550.0,656035.0,1615125.0,779590.0,1124390.0,1123275.0,386995.0,653205.0,2398005.0,1424085.0,114400.0,387385.0,823920.0,1074765.0,16444610.0
